"Sr. No",Date/Time,Class No,"Course Code",Course Title,Slot,Faculty Name
1,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000033,HUM1002,Emotional Intelligence,A11+A12,Dr Yogita Dwivedi
2,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000053,PHY2011,Biophysics,A11+A12,Dr. Suparna Patowary
3,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000130,MAT3003,"Probability, Statistics And
Reliability",A11+A12+A13,Dr.Mamta Agrawal
4,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000177,MEE2003,Manufacturing Processes,A11+A12+A13,Dr.Pushpdant Jain
5,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000183,ASE2002,Aerodynamics,A11+A12+A13,Mr. Chandan Kumar
6,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000192,MEE2014,"Engineering Design and
Modelling",A11+A12+A13,Dr Karthik Rao M C
7,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000193,MEE2014,"Engineering Design and
Modelling",A11+A12+A13,Dr Abhishek Shrivastava
8,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000195,MEE2014,"Engineering Design and
Modelling",A11+A12+A13,Mr. Prince
9,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000196,MEE2014,"Engineering Design and
Modelling",A11+A12+A13,Mr. Ashutosh Khanna
10,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000215,EEE3003,Control Systems,A11+A12+A13,Dr Karnika Biswas
11,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000226,ENG3001,"Introduction to Computational
Linguistics",A11+A12,Dr.Rajeev Saxena
12,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000314,CDS3005,Foundations of Data Science,A11+A12,Mr. Rajit Nair
13,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000320,CSD3009,"Data Structures And Analysis Of
Algorithms",A11+A12+A13,Dr.Muneeswaran
14,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000333,CSE3001,Database Management Systems,A11+A12+A13,Dr Koushik.c.p
15,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000336,CSE3001,Database Management Systems,A11+A12+A13,Dr.Hariharasitaraman. S
16,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000341,CSE3001,Database Management Systems,A11+A12+A13,Dr. Ashish Mohan Yadav
17,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000343,CSE3001,Database Management Systems,A11+A12+A13,Dr.Abha Trivedi
18,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000355,CSE3004,Design Analysis Of Algorithm,A11+A12+A13,Dr NAGARAJAN I
19,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000358,CSE3004,Design Analysis Of Algorithm,A11+A12+A13,Dr. Varshali Jaiswal
20,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000369,CSE3006,Computer Networks,A11+A12+A13,"Dr. J. George Chellin
Chandran"
21,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000539,CSE3001,Database Management Systems,A11+A12+A13,Dr. Adarsh Patel
22,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000559,MEE2014,"Engineering Design and
Modelling",A11+A12+A13,Dr SUPEN KUMAR SAH
23,20.02.2023/ Monday Time: 2.00 PM to 3.30 PM,BL2022235000561,CSG2003,Human Computer Interaction,A11+A12,Dr Sukumar.r
24,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000135,MAT3003,"Probability, Statistics And
Reliability",A21+A22+A23,Dr.Mayank Sharma
25,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000138,MAT3003,"Probability, Statistics And
Reliability",A21+A22+A23,Dr.Pavan Kumar
26,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000145,MAT3003,"Probability, Statistics And
Reliability",A21+A22+A23,Dr.Kumar Abhishek
27,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000148,MAT3003,"Probability, Statistics And
Reliability",A21+A22+A23,"Dr. Nilam
Venkatakoteswararao"
28,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000153,MAT3003,"Probability, Statistics And
Reliability",A21+A22+A23,Dr.Ankit
29,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000313,CDS3005,Foundations of Data Science,A21+A22,"Dr. Siddharth Singh
Chouhan"
30,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000324,CSD3009,"Data Structures And Analysis Of
Algorithms",A21+A22+A23,"Dr. Santosh Kumar
Tripathy"
31,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000326,CSE2003,"Computer Architecture and
Organization",A21+A22+A23,Dr Pratosh Kumar Pal
32,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000327,CSE2004,"Theory Of Computation And
Compiler Design",A21+A22+A23,Dr.Sandip Mal
33,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000330,CSE2004,"Theory Of Computation And
Compiler Design",A21+A22+A23,Dr SAMBASIVAM G
34,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000346,CSE3001,Database Management Systems,A21+A22+A23,Dr.Nilamadhab Mishra
35,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000351,CSE3003,Operating System,A21+A22+A23,Dr.Vikas Panthi
36,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000360,CSE3004,Design Analysis Of Algorithm,A21+A22+A23,Dr. Varshali Jaiswal
37,21.02.2023/ Tuesday Time: 2.00 PM to 3.30 PM,BL2022235000373,CSE3006,Computer Networks,A21+A22+A23,Dr. Gaurav Soni
38,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000040,HUM1006,Anthropology For Engineers,B11+B12,Dr.Saravanan J
39,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000133,MAT3003,"Probability, Statistics And
Reliability",B11+B12+B13,Dr.Manisha Jain
40,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000134,MAT3003,"Probability, Statistics And
Reliability",B11+B12+B13,Dr.Mayank Sharma
41,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000140,MAT3003,"Probability, Statistics And
Reliability",B11+B12+B13,"Dr.Navneet Kumar
Verma"
42,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000141,MAT3003,"Probability, Statistics And
Reliability",B11+B12+B13,"Dr.Sayed Mohammed
Zeeshan"
43,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000149,MAT3003,"Probability, Statistics And
Reliability",B11+B12+B13,Dr. Animesh Bhandari
44,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000152,MAT3003,"Probability, Statistics And
Reliability",B11+B12+B13,Dr.Ankit
45,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000176,MEE1004,Engineering Thermodynamics,B11+B12,Dr.Rohit Sharma
46,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000208,ECE4006,Sensors And Iot,B11+B12,Mr.Joshi Abhishek Dilip
47,22.02.2023/ Wednesday Time: 2.00 PM to 3.30 PM,BL2022235000211,ECE4006,Sensors And Iot,B11+B12,Dr. V. Sivasankarn
