Sr. No,Date/Time,Class No,Course Code,Course Title,Slot,Faculty Name
0,(Online) 23.05.2023/ Tuesday Time: 9.30 AM to 11.00 AM                        ,BL2022237000316,HUM0001,Ethics and Values,--,"Dr Manisha Jain/
 Dr Kumar Abhishek"
1,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000152,ENG3001,"Introduction to Computational
Linguistics",A21+A22+A23+A24+A25,"Dr Narendra
Kumar"
2,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000156,CSE2004,"Theory Of Computation And
Compiler Design","A21+A22+A23+A24+A25
+A27",Dr. Saravanan
3,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000159,CSE2004,"Theory Of Computation And
Compiler Design","A21+A22+A23+A24+A25
+A27","Dr VIJAY KUMAR
TRIVEDI"
4,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000166,CSG2003,Human Computer Interaction,A21+A22+A23+A24+A25,"Dr NIKHIL
PATERIA"
5,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000178,CSG2003,Human Computer Interaction,A21+A22+A23+A24+A25,Ms Geeta Singh
6,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000214,ENG3001,"Introduction to Computational
Linguistics",A21+A22+A23+A24+A25,Dr.Ravi Bhatt
7,Session: – 24.05.2023/ Wednesday Time: 9.15 AM to 12.15 PM,BL2022237000267,BMT2006,Corporate Social Responsibility,A17+B17+C17,"Dr ABDUL
RASHID"
8,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000003,MAT2001,"Differential And Difference
Equations",C21+C22+C23+C24+C25,Dr D Harish Babu
9,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000006,MAT2001,"Differential And Difference
Equations",C21+C22+C23+C24+C25,"Dr. Harish
Chandra"
10,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000019,MAT2003,Applied Numerical methods,C21+C22+C23+C24+C25,"Dr UJJWAL
KUMAR MISHRA"
11,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000040,MAT3003,"Probability, Statistics And Reliability","C21+C22+C23+C24+C25
+C27",Dr. Udai Kumar
12,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000153,CSE2004,"Theory Of Computation And
Compiler Design","C21+C22+C23+C24+C25
+C27","Dr.Chandan
Kumar Bahera"
13,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000161,CSG2003,Human Computer Interaction,C21+C22+C23+C24+C25,"Dr. J. Subash
Chandra Bose"
14,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000162,CSE2004,"Theory Of Computation And
Compiler Design","C21+C22+C23+C24+C25
+C27","Dr.
Venkat Prasad
Padhy"
15,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000164,CSE2004,"Theory Of Computation And
Compiler Design","C21+C22+C23+C24+C25
+C27",Dr NAGARAJAN I
16,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000169,CSG2003,Human Computer Interaction,D21+D22+D23+D24+D25,Dr Sukumar.r
17,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000292,MAT2003,Applied Numerical methods,C21+C22+C23+C24+C25,Ms. Priyanka Roy
18,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000294,MAT2003,Applied Numerical methods,C21+C22+C23+C24+C25,"Dr. Vijay Kumar
Patel"
19,Session: – 25.05.2023/ Thursday Time: 9.15 AM to 12.15 PM,BL2022237000035,MAT3002,Applied Linear Algebra,C21+C22+C23+C24+C25,"Ms Swati
Chauhan"
20,Session: – 26.05.2023/ Friday Time: 9.15 AM to 12.15 PM,BL2022237000004,MAT2001,"Differential And Difference
Equations",C11+C12+C13+C14+C15,"Dr.Navneet
Kumar Verma"
