Sr. No,Date/Time,Class No,Course Code,Course Title,Slot,Faculty Name
1,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000003,MAT2004,Operations Research,A11+A12+A13,"Dr.Ajay Kumar
Bhurjee"
2,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000004,MAT3003,"Probability, Statistics And
Reliability",A11+A12+A13+A14,Dr. Udai Kumar
3,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000005,MAT3003,"Probability, Statistics And
Reliability",A11+A12+A13+A14,Dr.Mayank Sharma
4,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000017,MAT2003,Applied Numerical methods,A11+A12+A13,Ms. Sana Afreen
5,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000018,MAT2003,Applied Numerical methods,A11+A12+A13,Ms. Shivangi Dangi
6,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000041,ASE1003,"THERMAL AND HEAT
TRANSFER FOR AEROSPACE
ENGINEERING",A11+A12+A13+A14,Dr. Ankush
7,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000045,ASE2006,Aerospace Propulsion,A11+A12+A13+A14,Dr.Prashant G K
8,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000126,CSE2004,"Theory Of Computation And
Compiler Design",A11+A12+A13+A14,"Dr Abhishek Kumar
Shukla"
9,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000143,CSE3010,Computer Vision,A11+A12+A13,Dr.A.V.R Mayuri
10,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000144,CSE2004,"Theory Of Computation And
Compiler Design",A11+A12+A13+A14,Dr. Gaurav Soni
11,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000148,CSE2004,"Theory Of Computation And
Compiler Design",A11+A12+A13+A14,"Dr. Ashish Mohan
Yadav"
12,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000154,CSE2003,"Computer Architecture and
Organization",A11+A12+A13+A14,Dr.Trapti Sharma
13,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000162,CSE3010,Computer Vision,A11+A12+A13,Dr Ajay Sharma
14,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000163,CSE2004,"Theory Of Computation And
Compiler Design",A11+A12+A13+A14,Dr Vijay Kumar Trivedi
15,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000171,CSE3010,Computer Vision,A11+A12+A13,"Dr Rajneesh Kumar
Patel"
16,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000178,CSE3010,Computer Vision,A11+A12+A13,Dr Sanat Jain
17,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000180,CSE4001,"Internet and Web
Programming",A11+A12+A13+A14,"Dr. Nitin Kumar
Mishra"
18,Session:  10.07.2023/ Monday Time: 9.15 AM to 10.45 AM,BL2023241000202,CCA3001,Cloud Data and Management,A11+A12+A13+A14,Dr. Anju Shukla
